DATE,FLIGHT_NUM,WAY,TEAM,NUMBER,START,END
20170620,7,Arrival,ASA,3,8:00:00,8:55:00
20170620,7,Arrival,POLY,2,8:00:00,8:55:00
20170620,7,Arrival,POLY,1,8:00:00,8:55:00
20170620,7,Arrival,RZA,1,8:00:00,8:55:00
20170620,7,Arrival,POLY,1,7:55:00,8:25:00
20170620,1081,Arrival,RZA,1,8:20:00,9:55:00
20170620,1084,Departure,POLY,1,7:05:00,7:20:00
20170620,1084,Departure,RZA,1,6:05:00,7:35:00
20170620,1089,Arrival,POLY,2,8:50:00,10:10:00
20170620,1089,Arrival,RZA,1,8:45:00,10:20:00
20170620,1089,Arrival,ASA,1,8:50:00,10:10:00
20170620,1114,Departure,POLY,1,7:25:00,7:40:00
20170620,1114,Departure,RZA,1,6:25:00,7:55:00
20170620,1123,Arrival,POLY,2,8:40:00,9:50:00
20170620,1123,Arrival,RZA,1,8:35:00,10:00:00
20170620,1123,Arrival,ASA,1,8:40:00,9:50:00
20170620,1125,Arrival,POLY,2,9:00:00,9:45:00
20170620,1125,Arrival,RZA,1,9:00:00,9:45:00
20170620,1125,Arrival,ASA,1,9:00:00,9:35:00
20170620,1126,Departure,POLY,1,7:15:00,7:30:00
20170620,1126,Departure,RZA,1,6:15:00,7:45:00
20170620,1135,Arrival,POLY,2,8:30:00,9:15:00
20170620,1135,Arrival,RZA,1,8:30:00,9:15:00
20170620,1135,Arrival,ASA,1,8:30:00,9:10:00
20170620,1138,Departure,ASA,1,6:20:00,7:25:00
20170620,1138,Departure,POLY,2,6:20:00,7:25:00
20170620,1138,Departure,RZA,1,6:10:00,7:35:00
20170620,1148,Departure,ASA,1,6:35:00,7:40:00
20170620,1148,Departure,POLY,2,6:35:00,7:40:00
20170620,1148,Departure,RZA,1,6:25:00,7:50:00
20170620,1164,Departure,POLY,1,7:50:00,8:05:00
20170620,1164,Departure,RZA,1,6:50:00,8:20:00
20170620,1204,Departure,ASA,1,6:20:00,7:25:00
20170620,1204,Departure,POLY,2,6:20:00,7:25:00
20170620,1204,Departure,RZA,1,6:10:00,7:35:00
20170620,1212,Departure,POLY,1,7:10:00,7:25:00
20170620,1212,Departure,RZA,1,6:10:00,7:40:00
20170620,1228,Departure,POLY,1,7:20:00,7:35:00
20170620,1228,Departure,RZA,1,6:20:00,7:50:00
20170620,1232,Departure,POLY,1,6:40:00,6:55:00
20170620,1232,Departure,RZA,1,5:40:00,7:10:00
20170620,1240,Departure,ASA,1,6:25:00,7:30:00
20170620,1240,Departure,POLY,2,6:25:00,7:30:00
20170620,1240,Departure,RZA,1,6:15:00,7:40:00
20170620,1243,Arrival,POLY,2,8:20:00,9:35:00
20170620,1243,Arrival,RZA,1,8:15:00,9:45:00
20170620,1243,Arrival,ASA,1,8:15:00,9:35:00
20170620,1247,Arrival,POLY,2,8:45:00,9:30:00
20170620,1247,Arrival,RZA,1,8:45:00,9:30:00
20170620,1247,Arrival,ASA,1,8:45:00,9:25:00
20170620,1258,Departure,POLY,1,11:00:00,11:15:00
20170620,1267,Arrival,POLY,1,8:45:00,9:00:00
20170620,1267,Arrival,RZA,1,8:45:00,9:30:00
20170620,1284,Departure,POLY,1,9:55:00,10:10:00
20170620,1284,Departure,RZA,1,8:55:00,10:25:00
20170620,1300,Departure,ASA,1,8:10:00,9:15:00
20170620,1300,Departure,POLY,2,8:10:00,9:15:00
20170620,1300,Departure,RZA,1,8:00:00,9:25:00
20170620,1327,Arrival,RZA,1,8:20:00,10:05:00
20170620,1340,Departure,ASA,1,6:55:00,8:00:00
20170620,1340,Departure,POLY,2,6:55:00,8:00:00
20170620,1340,Departure,RZA,1,6:45:00,8:10:00
20170620,1351,Arrival,RZA,1,8:05:00,9:55:00
20170620,1355,Arrival,POLY,1,10:15:00,10:30:00
20170620,1355,Arrival,RZA,1,10:15:00,11:00:00
20170620,1381,Arrival,POLY,1,8:50:00,10:05:00
20170620,1381,Arrival,RZA,1,8:40:00,10:20:00
20170620,1382,Departure,ASA,1,6:15:00,7:20:00
20170620,1382,Departure,POLY,2,6:15:00,7:20:00
20170620,1382,Departure,RZA,1,6:05:00,7:30:00
20170620,1391,Arrival,POLY,1,8:45:00,9:00:00
20170620,1391,Arrival,RZA,1,8:45:00,9:30:00
20170620,1394,Departure,ASA,1,6:00:00,7:05:00
20170620,1394,Departure,POLY,2,6:00:00,7:05:00
20170620,1394,Departure,RZA,1,5:50:00,7:15:00
20170620,1401,Arrival,POLY,2,8:25:00,9:40:00
20170620,1401,Arrival,RZA,1,8:20:00,9:50:00
20170620,1401,Arrival,ASA,1,8:25:00,9:40:00
20170620,1415,Arrival,RZA,1,8:40:00,10:20:00
20170620,1422,Departure,POLY,1,7:10:00,7:25:00
20170620,1422,Departure,RZA,1,6:10:00,7:40:00
20170620,1430,Departure,ASA,1,6:20:00,7:25:00
20170620,1430,Departure,POLY,2,6:20:00,7:25:00
20170620,1430,Departure,RZA,1,6:10:00,7:35:00
20170620,1434,Departure,ASA,1,6:30:00,7:35:00
20170620,1434,Departure,POLY,2,6:30:00,7:35:00
20170620,1434,Departure,RZA,1,6:20:00,7:45:00
20170620,1449,Arrival,POLY,2,8:00:00,9:25:00
20170620,1449,Arrival,RZA,1,7:55:00,9:35:00
20170620,1449,Arrival,ASA,1,7:55:00,9:25:00
20170620,1463,Arrival,POLY,2,8:40:00,9:55:00
20170620,1463,Arrival,RZA,1,8:35:00,10:05:00
20170620,1463,Arrival,ASA,1,8:35:00,9:55:00
20170620,1464,Departure,POLY,1,9:15:00,9:30:00
20170620,1464,Departure,RZA,1,8:15:00,9:45:00
20170620,1513,Arrival,POLY,1,9:00:00,10:05:00
20170620,1513,Arrival,RZA,1,8:50:00,10:20:00
20170620,1532,Departure,POLY,1,8:25:00,9:45:00
20170620,1542,Departure,POLY,1,7:00:00,7:15:00
20170620,1542,Departure,RZA,1,6:00:00,7:30:00
20170620,1543,Arrival,POLY,1,10:10:00,11:10:00
20170620,1543,Arrival,RZA,1,10:00:00,11:25:00
20170620,1554,Departure,ASA,1,6:35:00,7:40:00
20170620,1554,Departure,POLY,2,6:35:00,7:40:00
20170620,1554,Departure,RZA,1,6:25:00,7:50:00
20170620,1579,Arrival,POLY,1,9:00:00,10:05:00
20170620,1579,Arrival,RZA,1,8:50:00,10:20:00
20170620,1580,Departure,POLY,1,9:00:00,10:15:00
20170620,1611,Arrival,POLY,1,7:35:00,7:50:00
20170620,1611,Arrival,RZA,1,7:35:00,8:20:00
20170620,1620,Departure,ASA,1,9:55:00,11:00:00
20170620,1620,Departure,POLY,2,9:55:00,11:00:00
20170620,1620,Departure,RZA,1,9:45:00,11:10:00
20170620,1653,Arrival,POLY,1,9:00:00,9:15:00
20170620,1653,Arrival,RZA,1,9:00:00,9:45:00
